job_cost_txn_id,erp_job_id,posting_date,accounting_period,cost_code,cost_type,amount,source_type,source_doc_id,description
JC-00001,J-23874,2026-04-26,2026-04,260300,Labor/Material,101611.95,Other,HIST-P-1004-260300-4,Historical Feeders & Distribution cost
JC-00002,J-23874,2026-04-26,2026-04,260400,Labor/Material,46641.49,Other,HIST-P-1004-260400-4,Historical Branch Wiring cost
JC-00003,J-23874,2026-04-26,2026-04,260500,Labor/Material,67153.6,Other,HIST-P-1004-260500-4,Historical Lighting cost
JC-00004,J-23874,2026-04-26,2026-04,260600,Equipment,98930.96,Other,HIST-P-1004-260600-4,Historical Switchgear cost
JC-00005,J-23874,2026-04-26,2026-04,260700,Subcontract,38318.37,Other,HIST-P-1004-260700-4,Historical Controls / Low Voltage cost
JC-00006,J-23874,2026-04-26,2026-04,260800,Other,30141.15,Other,HIST-P-1004-260800-4,Historical Temporary Power cost
JC-00007,J-23874,2026-04-26,2026-04,269900,Other,30145.87,Other,HIST-P-1004-269900-4,Historical Other Direct Cost cost
JC-00008,J-23955,2026-04-26,2026-04,220300,Labor/Material,89167.44,Other,HIST-P-1006-220300-4,Historical Domestic Water Piping cost
JC-00009,J-23955,2026-04-26,2026-04,220400,Labor/Material,23520.16,Other,HIST-P-1006-220400-4,Historical Sanitary / Storm Piping cost
JC-00010,J-23955,2026-04-26,2026-04,220500,Material,21922.72,Other,HIST-P-1006-220500-4,Historical Fixtures cost
JC-00011,J-23955,2026-04-26,2026-04,220600,Equipment,6998.78,Other,HIST-P-1006-220600-4,Historical Pumps / Equipment cost
JC-00012,J-23955,2026-04-26,2026-04,220700,Subcontract,32085.92,Other,HIST-P-1006-220700-4,Historical Specialty Systems cost
JC-00013,J-23955,2026-04-26,2026-04,220800,Material,30113.54,Other,HIST-P-1006-220800-4,Historical Hangers / Supports cost
JC-00014,J-23955,2026-04-26,2026-04,229900,Other,14716.21,Other,HIST-P-1006-229900-4,Historical Other Direct Cost cost
JC-00015,J-23981,2026-04-26,2026-04,230300,Labor/Material,21835.21,Other,HIST-P-1002-230300-4,Historical Ductwork cost
JC-00016,J-23981,2026-04-26,2026-04,230400,Labor/Material,51344.57,Other,HIST-P-1002-230400-4,Historical Hydronic Piping cost
JC-00017,J-23981,2026-04-26,2026-04,230500,Equipment,84547.55,Other,HIST-P-1002-230500-4,Historical Air Handling Equipment cost
JC-00018,J-23981,2026-04-26,2026-04,230600,Subcontract,50348.59,Other,HIST-P-1002-230600-4,Historical Controls cost
JC-00019,J-23981,2026-04-26,2026-04,230700,Subcontract,7418.4,Other,HIST-P-1002-230700-4,Historical Insulation cost
JC-00020,J-23981,2026-04-26,2026-04,230800,Material,14436.59,Other,HIST-P-1002-230800-4,Historical Sheet Metal Fabrication cost
JC-00021,J-23981,2026-04-26,2026-04,230900,Subcontract,8725.01,Other,HIST-P-1002-230900-4,Historical Testing / Balancing cost
JC-00022,J-24008,2026-04-26,2026-04,230300,Labor/Material,26282.54,Other,HIST-P-1005-230300-4,Historical Ductwork cost
JC-00023,J-24008,2026-04-26,2026-04,230400,Labor/Material,2781.99,Other,HIST-P-1005-230400-4,Historical Hydronic Piping cost
JC-00024,J-24008,2026-04-26,2026-04,230500,Equipment,43938.57,Other,HIST-P-1005-230500-4,Historical Air Handling Equipment cost
JC-00025,J-24008,2026-04-26,2026-04,230600,Subcontract,6960.02,Other,HIST-P-1005-230600-4,Historical Controls cost
JC-00026,J-24008,2026-04-26,2026-04,230700,Subcontract,1774.67,Other,HIST-P-1005-230700-4,Historical Insulation cost
JC-00027,J-24008,2026-04-26,2026-04,230800,Material,11286.36,Other,HIST-P-1005-230800-4,Historical Sheet Metal Fabrication cost
JC-00028,J-24008,2026-04-26,2026-04,230900,Subcontract,2359.24,Other,HIST-P-1005-230900-4,Historical Testing / Balancing cost
JC-00029,J-24017,2026-04-26,2026-04,260300,Labor/Material,42955.2,Other,HIST-P-1001-260300-4,Historical Feeders & Distribution cost
JC-00030,J-24017,2026-04-26,2026-04,260400,Labor/Material,6153.26,Other,HIST-P-1001-260400-4,Historical Branch Wiring cost
JC-00031,J-24017,2026-04-26,2026-04,260500,Labor/Material,29176.85,Other,HIST-P-1001-260500-4,Historical Lighting cost
JC-00032,J-24017,2026-04-26,2026-04,260600,Equipment,42140.73,Other,HIST-P-1001-260600-4,Historical Switchgear cost
JC-00033,J-24017,2026-04-26,2026-04,260700,Subcontract,12302.66,Other,HIST-P-1001-260700-4,Historical Controls / Low Voltage cost
JC-00034,J-24017,2026-04-26,2026-04,260800,Other,12411.71,Other,HIST-P-1001-260800-4,Historical Temporary Power cost
JC-00035,J-24042,2026-04-26,2026-04,220300,Labor/Material,13430.1,Other,HIST-P-1003-220300-4,Historical Domestic Water Piping cost
JC-00036,J-24042,2026-04-26,2026-04,220400,Labor/Material,21196.7,Other,HIST-P-1003-220400-4,Historical Sanitary / Storm Piping cost
JC-00037,J-24042,2026-04-26,2026-04,220500,Material,9110.27,Other,HIST-P-1003-220500-4,Historical Fixtures cost
JC-00038,J-24042,2026-04-26,2026-04,220600,Equipment,18531.27,Other,HIST-P-1003-220600-4,Historical Pumps / Equipment cost
JC-00039,J-24042,2026-04-26,2026-04,220700,Subcontract,3644.75,Other,HIST-P-1003-220700-4,Historical Specialty Systems cost
JC-00040,J-24042,2026-04-26,2026-04,220800,Material,3777.03,Other,HIST-P-1003-220800-4,Historical Hangers / Supports cost
JC-00041,J-23874,2026-04-30,2026-04,260100,Labor,83278.6,Payroll,PR-P-1004-2026-04,Monthly payroll allocation
JC-00042,J-23874,2026-04-30,2026-04,260200,Labor,292750.1,Payroll,PR-P-1004-2026-04,Monthly payroll allocation
JC-00043,J-23874,2026-04-30,2026-04,260300,Labor/Material,65629.0,Payroll,PR-P-1004-2026-04,Monthly payroll allocation
JC-00044,J-23874,2026-04-30,2026-04,260400,Labor/Material,86033.1,Payroll,PR-P-1004-2026-04,Monthly payroll allocation
JC-00045,J-23874,2026-04-30,2026-04,260500,Labor/Material,53766.4,Payroll,PR-P-1004-2026-04,Monthly payroll allocation
JC-00046,J-23874,2026-04-30,2026-04,260700,Subcontract,4065.0,Payroll,PR-P-1004-2026-04,Monthly payroll allocation
JC-00047,J-23874,2026-04-30,2026-04,260800,Other,9051.9,Payroll,PR-P-1004-2026-04,Monthly payroll allocation
JC-00048,J-23874,2026-04-30,2026-04,260900,Labor,49035.7,Payroll,PR-P-1004-2026-04,Monthly payroll allocation
JC-00049,J-23874,2026-04-30,2026-04,269900,Other,6465.8,Payroll,PR-P-1004-2026-04,Monthly payroll allocation
JC-00050,J-23955,2026-04-30,2026-04,220100,Labor,43136.8,Payroll,PR-P-1006-2026-04,Monthly payroll allocation
JC-00051,J-23955,2026-04-30,2026-04,220200,Labor,181388.8,Payroll,PR-P-1006-2026-04,Monthly payroll allocation
JC-00052,J-23955,2026-04-30,2026-04,220300,Labor/Material,58043.2,Payroll,PR-P-1006-2026-04,Monthly payroll allocation
JC-00053,J-23955,2026-04-30,2026-04,220400,Labor/Material,44224.8,Payroll,PR-P-1006-2026-04,Monthly payroll allocation
