receipt_id,commitment_id,erp_job_id,receipt_date,received_value,description
RCV-00001,PO-0001,J-24017,2026-06-25,80300.0,Feeders & Distribution package
RCV-00002,PO-0001,J-24017,2026-07-22,65700.0,Feeders & Distribution package
RCV-00003,PO-0002,J-24017,2026-06-25,141350.0,Branch Wiring package
RCV-00004,PO-0002,J-24017,2026-07-22,115650.0,Branch Wiring package
RCV-00005,PO-0003,J-24017,2026-06-25,64900.0,Lighting package
RCV-00006,PO-0003,J-24017,2026-07-22,53100.0,Lighting package
RCV-00007,PO-0004,J-24017,2026-06-25,134750.0,Switchgear package
RCV-00008,PO-0004,J-24017,2026-07-22,110250.0,Switchgear package
RCV-00009,PO-0005,J-24017,2026-06-25,69575.0,Controls / Low Voltage package
RCV-00010,PO-0005,J-24017,2026-07-22,56925.0,Controls / Low Voltage package
RCV-00011,PO-0006,J-24017,2026-06-25,32450.0,Temporary Power package
RCV-00012,PO-0006,J-24017,2026-07-22,26550.0,Temporary Power package
RCV-00013,PO-0007,J-24017,2026-06-25,51975.0,Other Direct Cost package
RCV-00014,PO-0007,J-24017,2026-07-22,42525.0,Other Direct Cost package
RCV-00015,PO-0008,J-23981,2026-06-25,105875.0,Ductwork package
RCV-00016,PO-0008,J-23981,2026-07-22,86625.0,Ductwork package
RCV-00017,PO-0009,J-23981,2026-06-25,116325.0,Hydronic Piping package
RCV-00018,PO-0009,J-23981,2026-07-22,95175.0,Hydronic Piping package
RCV-00019,PO-0010,J-23981,2026-06-25,324500.0,Air Handling Equipment package
RCV-00020,PO-0010,J-23981,2026-07-22,265500.0,Air Handling Equipment package
RCV-00021,PO-0011,J-23981,2026-06-25,89650.0,Controls package
RCV-00022,PO-0011,J-23981,2026-07-22,73350.0,Controls package
RCV-00023,PO-0012,J-23981,2026-06-25,85525.0,Insulation package
RCV-00024,PO-0012,J-23981,2026-07-22,69975.0,Insulation package
RCV-00025,PO-0013,J-23981,2026-06-25,89925.0,Sheet Metal Fabrication package
RCV-00026,PO-0013,J-23981,2026-07-22,73575.0,Sheet Metal Fabrication package
RCV-00027,PO-0014,J-23981,2026-06-25,75075.0,Testing / Balancing package
RCV-00028,PO-0014,J-23981,2026-07-22,61425.0,Testing / Balancing package
RCV-00029,PO-0015,J-23981,2026-06-25,91575.0,Other Direct Cost package
RCV-00030,PO-0015,J-23981,2026-07-22,74925.0,Other Direct Cost package
RCV-00031,PO-0016,J-24042,2026-06-25,78375.0,Domestic Water Piping package
RCV-00032,PO-0016,J-24042,2026-07-22,64125.0,Domestic Water Piping package
RCV-00033,PO-0017,J-24042,2026-06-25,62150.0,Sanitary / Storm Piping package
RCV-00034,PO-0017,J-24042,2026-07-22,50850.0,Sanitary / Storm Piping package
RCV-00035,PO-0018,J-24042,2026-06-25,69575.0,Fixtures package
RCV-00036,PO-0018,J-24042,2026-07-22,56925.0,Fixtures package
RCV-00037,PO-0019,J-24042,2026-06-25,34375.0,Pumps / Equipment package
RCV-00038,PO-0019,J-24042,2026-07-22,28125.0,Pumps / Equipment package
RCV-00039,PO-0020,J-24042,2026-06-25,58800.0,Specialty Systems package
RCV-00040,PO-0020,J-24042,2026-07-22,39200.0,Specialty Systems package
RCV-00041,PO-0021,J-24042,2026-06-25,27775.0,Hangers / Supports package
RCV-00042,PO-0021,J-24042,2026-07-22,22725.0,Hangers / Supports package
RCV-00043,PO-0022,J-24042,2026-06-25,47850.0,Other Direct Cost package
RCV-00044,PO-0022,J-24042,2026-07-22,39150.0,Other Direct Cost package
RCV-00045,PO-0023,J-23874,2026-06-25,177925.0,Feeders & Distribution package
RCV-00046,PO-0023,J-23874,2026-07-22,145575.0,Feeders & Distribution package
RCV-00047,PO-0024,J-23874,2026-06-25,291775.0,Branch Wiring package
RCV-00048,PO-0024,J-23874,2026-07-22,238725.0,Branch Wiring package
RCV-00049,PO-0025,J-23874,2026-06-25,162800.0,Lighting package
RCV-00050,PO-0025,J-23874,2026-07-22,133200.0,Lighting package
RCV-00051,PO-0026,J-23874,2026-06-25,142725.0,Switchgear package
RCV-00052,PO-0026,J-23874,2026-07-22,116775.0,Switchgear package
RCV-00053,PO-0027,J-23874,2026-06-25,129525.0,Controls / Low Voltage package
RCV-00054,PO-0027,J-23874,2026-07-22,105975.0,Controls / Low Voltage package
RCV-00055,PO-0028,J-23874,2026-06-25,56925.0,Temporary Power package
RCV-00056,PO-0028,J-23874,2026-07-22,46575.0,Temporary Power package
RCV-00057,PO-0029,J-23874,2026-06-25,56925.0,Other Direct Cost package
RCV-00058,PO-0029,J-23874,2026-07-22,46575.0,Other Direct Cost package
RCV-00059,PO-0030,J-24008,2026-06-25,98725.0,Ductwork package
RCV-00060,PO-0030,J-24008,2026-07-22,80775.0,Ductwork package
RCV-00061,PO-0031,J-24008,2026-06-25,117425.0,Hydronic Piping package
RCV-00062,PO-0031,J-24008,2026-07-22,96075.0,Hydronic Piping package
RCV-00063,PO-0032,J-24008,2026-06-25,250250.0,Air Handling Equipment package
RCV-00064,PO-0032,J-24008,2026-07-22,204750.0,Air Handling Equipment package
RCV-00065,PO-0033,J-24008,2026-06-25,67100.0,Controls package
RCV-00066,PO-0033,J-24008,2026-07-22,54900.0,Controls package
RCV-00067,PO-0034,J-24008,2026-06-25,52800.0,Insulation package
RCV-00068,PO-0034,J-24008,2026-07-22,43200.0,Insulation package
RCV-00069,PO-0035,J-24008,2026-06-25,52250.0,Sheet Metal Fabrication package
RCV-00070,PO-0035,J-24008,2026-07-22,42750.0,Sheet Metal Fabrication package
RCV-00071,PO-0036,J-24008,2026-06-25,37400.0,Testing / Balancing package
RCV-00072,PO-0036,J-24008,2026-07-22,30600.0,Testing / Balancing package
RCV-00073,PO-0037,J-24008,2026-06-25,43725.0,Other Direct Cost package
RCV-00074,PO-0037,J-24008,2026-07-22,35775.0,Other Direct Cost package
RCV-00075,PO-0038,J-23955,2026-06-25,122375.0,Domestic Water Piping package
