employee_id,employee_name,trade,role,hourly_cost_rate,active
E-001,Electrical Field Employee 001,Electrical,Foreman,78,True
E-002,Electrical Field Employee 002,Electrical,Journeyman,78,True
E-003,Electrical Field Employee 003,Electrical,Journeyman,64,True
E-004,Electrical Field Employee 004,Electrical,Journeyman,72,True
E-005,Electrical Field Employee 005,Electrical,Journeyman,62,True
E-006,Electrical Field Employee 006,Electrical,Journeyman,68,True
E-007,Electrical Field Employee 007,Electrical,Journeyman,60,True
E-008,Electrical Field Employee 008,Electrical,Journeyman,66,True
E-009,Electrical Field Employee 009,Electrical,Journeyman,78,True
E-010,Electrical Field Employee 010,Electrical,Apprentice,52,True
E-011,Electrical Field Employee 011,Electrical,Journeyman,72,True
E-012,Electrical Field Employee 012,Electrical,Journeyman,62,True
E-013,Electrical Field Employee 013,Electrical,Foreman,78,True
E-014,Electrical Field Employee 014,Electrical,Journeyman,60,True
E-015,Electrical Field Employee 015,Electrical,Journeyman,66,True
E-016,Electrical Field Employee 016,Electrical,Journeyman,78,True
E-017,Electrical Field Employee 017,Electrical,Journeyman,64,True
E-018,Electrical Field Employee 018,Electrical,Journeyman,72,True
E-019,Electrical Field Employee 019,Electrical,Apprentice,52,True
E-020,Electrical Field Employee 020,Electrical,Journeyman,68,True
E-021,Electrical Field Employee 021,Electrical,Journeyman,60,True
E-022,Electrical Field Employee 022,Electrical,Journeyman,66,True
E-023,Electrical Field Employee 023,Electrical,Journeyman,78,True
E-024,Electrical Field Employee 024,Electrical,Journeyman,64,True
E-025,Electrical Field Employee 025,Electrical,Foreman,78,True
E-026,Electrical Field Employee 026,Electrical,Journeyman,62,True
E-027,Electrical Field Employee 027,Electrical,Journeyman,68,True
E-028,Electrical Field Employee 028,Electrical,Apprentice,52,True
E-029,Electrical Field Employee 029,Electrical,Journeyman,66,True
E-030,Electrical Field Employee 030,Electrical,Journeyman,78,True
E-031,Electrical Field Employee 031,Electrical,Journeyman,64,True
E-032,Electrical Field Employee 032,Electrical,Journeyman,72,True
E-033,Electrical Field Employee 033,Electrical,Journeyman,62,True
E-034,Electrical Field Employee 034,Electrical,Journeyman,68,True
E-035,Electrical Field Employee 035,Electrical,Journeyman,60,True
E-036,Electrical Field Employee 036,Electrical,Journeyman,66,True
E-037,Electrical Field Employee 037,Electrical,Foreman,78,True
E-038,Electrical Field Employee 038,Electrical,Journeyman,64,True
E-039,Electrical Field Employee 039,Electrical,Journeyman,72,True
E-040,Electrical Field Employee 040,Electrical,Journeyman,62,True
E-041,Electrical Field Employee 041,Electrical,Journeyman,68,True
E-042,Electrical Field Employee 042,Electrical,Journeyman,60,True
E-043,Electrical Field Employee 043,Electrical,Journeyman,66,True
E-044,Electrical Field Employee 044,Electrical,Journeyman,78,True
E-045,Electrical Field Employee 045,Electrical,Journeyman,64,True
E-046,Electrical Field Employee 046,Electrical,Apprentice,52,True
E-047,Electrical Field Employee 047,Electrical,Journeyman,62,True
E-048,Electrical Field Employee 048,Electrical,Journeyman,68,True
E-049,Electrical Field Employee 049,Electrical,Foreman,78,True
E-050,Electrical Field Employee 050,Electrical,Journeyman,66,True
E-051,Electrical Field Employee 051,Electrical,Journeyman,78,True
E-052,Electrical Field Employee 052,Electrical,Journeyman,64,True
E-053,Electrical Field Employee 053,Electrical,Journeyman,72,True
E-054,Electrical Field Employee 054,Electrical,Journeyman,62,True
E-055,Electrical Field Employee 055,Electrical,Apprentice,52,True
E-056,Electrical Field Employee 056,Electrical,Journeyman,60,True
E-057,Electrical Field Employee 057,Electrical,Journeyman,66,True
E-058,Electrical Field Employee 058,Electrical,Journeyman,78,True
E-059,Electrical Field Employee 059,Electrical,Journeyman,64,True
E-060,Electrical Field Employee 060,Electrical,Journeyman,72,True
E-061,Electrical Field Employee 061,Electrical,Foreman,78,True
E-062,Electrical Field Employee 062,Electrical,Journeyman,68,True
E-063,Electrical Field Employee 063,Electrical,Journeyman,60,True
E-064,Electrical Field Employee 064,Electrical,Apprentice,52,True
E-065,Electrical Field Employee 065,Electrical,Journeyman,78,True
E-066,Electrical Field Employee 066,Electrical,Journeyman,64,True
E-067,Electrical Field Employee 067,Electrical,Journeyman,72,True
E-068,Electrical Field Employee 068,Electrical,Journeyman,62,True
E-069,Electrical Field Employee 069,Electrical,Journeyman,68,True
E-070,Electrical Field Employee 070,Electrical,Journeyman,60,True
E-071,Electrical Field Employee 071,Electrical,Journeyman,66,True
E-072,Electrical Field Employee 072,Electrical,Journeyman,78,True
E-073,Electrical Field Employee 073,Electrical,Foreman,78,True
E-074,Electrical Field Employee 074,Electrical,Journeyman,72,True
E-075,Electrical Field Employee 075,Electrical,Journeyman,62,True
E-076,Electrical Field Employee 076,Electrical,Journeyman,68,True
E-077,Electrical Field Employee 077,Electrical,Journeyman,60,True
E-078,Electrical Field Employee 078,Electrical,Journeyman,66,True
E-079,Electrical Field Employee 079,Electrical,Journeyman,78,True
E-080,Electrical Field Employee 080,Electrical,Journeyman,64,True
E-081,Electrical Field Employee 081,Electrical,Journeyman,72,True
E-082,Electrical Field Employee 082,Electrical,Apprentice,52,True
E-083,Electrical Field Employee 083,Electrical,Journeyman,68,True
E-084,Electrical Field Employee 084,Electrical,Journeyman,60,True
E-085,Electrical Field Employee 085,Electrical,Foreman,78,True
E-086,Electrical Field Employee 086,Electrical,Journeyman,78,True
E-087,Electrical Field Employee 087,Electrical,Journeyman,64,True
E-088,Electrical Field Employee 088,Electrical,Journeyman,72,True
E-089,Electrical Field Employee 089,Electrical,Journeyman,62,True
E-090,Electrical Field Employee 090,Electrical,Journeyman,68,True
E-091,Mechanical Field Employee 001,Mechanical/HVAC,Foreman,78,True
E-092,Mechanical Field Employee 002,Mechanical/HVAC,Journeyman,68,True
E-093,Mechanical Field Employee 003,Mechanical/HVAC,Journeyman,60,True
E-094,Mechanical Field Employee 004,Mechanical/HVAC,Journeyman,66,True
E-095,Mechanical Field Employee 005,Mechanical/HVAC,Journeyman,78,True
E-096,Mechanical Field Employee 006,Mechanical/HVAC,Journeyman,64,True
E-097,Mechanical Field Employee 007,Mechanical/HVAC,Journeyman,72,True
E-098,Mechanical Field Employee 008,Mechanical/HVAC,Journeyman,62,True
E-099,Mechanical Field Employee 009,Mechanical/HVAC,Journeyman,68,True
E-100,Mechanical Field Employee 010,Mechanical/HVAC,Apprentice,52,True
E-101,Mechanical Field Employee 011,Mechanical/HVAC,Journeyman,66,True
E-102,Mechanical Field Employee 012,Mechanical/HVAC,Journeyman,78,True
E-103,Mechanical Field Employee 013,Mechanical/HVAC,Foreman,78,True
E-104,Mechanical Field Employee 014,Mechanical/HVAC,Journeyman,72,True
E-105,Mechanical Field Employee 015,Mechanical/HVAC,Journeyman,62,True
E-106,Mechanical Field Employee 016,Mechanical/HVAC,Journeyman,68,True
E-107,Mechanical Field Employee 017,Mechanical/HVAC,Journeyman,60,True
E-108,Mechanical Field Employee 018,Mechanical/HVAC,Journeyman,66,True
E-109,Mechanical Field Employee 019,Mechanical/HVAC,Apprentice,52,True
E-110,Mechanical Field Employee 020,Mechanical/HVAC,Journeyman,64,True
E-111,Mechanical Field Employee 021,Mechanical/HVAC,Journeyman,72,True
E-112,Mechanical Field Employee 022,Mechanical/HVAC,Journeyman,62,True
E-113,Mechanical Field Employee 023,Mechanical/HVAC,Journeyman,68,True
E-114,Mechanical Field Employee 024,Mechanical/HVAC,Journeyman,60,True
E-115,Mechanical Field Employee 025,Mechanical/HVAC,Foreman,78,True
E-116,Mechanical Field Employee 026,Mechanical/HVAC,Journeyman,78,True
E-117,Mechanical Field Employee 027,Mechanical/HVAC,Journeyman,64,True
E-118,Mechanical Field Employee 028,Mechanical/HVAC,Apprentice,52,True
E-119,Mechanical Field Employee 029,Mechanical/HVAC,Journeyman,62,True
E-120,Mechanical Field Employee 030,Mechanical/HVAC,Journeyman,68,True
E-121,Mechanical Field Employee 031,Mechanical/HVAC,Journeyman,60,True
E-122,Mechanical Field Employee 032,Mechanical/HVAC,Journeyman,66,True
E-123,Mechanical Field Employee 033,Mechanical/HVAC,Journeyman,78,True
E-124,Mechanical Field Employee 034,Mechanical/HVAC,Journeyman,64,True
E-125,Mechanical Field Employee 035,Mechanical/HVAC,Journeyman,72,True
E-126,Mechanical Field Employee 036,Mechanical/HVAC,Journeyman,62,True
E-127,Mechanical Field Employee 037,Mechanical/HVAC,Foreman,78,True
E-128,Mechanical Field Employee 038,Mechanical/HVAC,Journeyman,60,True
E-129,Mechanical Field Employee 039,Mechanical/HVAC,Journeyman,66,True
E-130,Mechanical Field Employee 040,Mechanical/HVAC,Journeyman,78,True
E-131,Mechanical Field Employee 041,Mechanical/HVAC,Journeyman,64,True
E-132,Mechanical Field Employee 042,Mechanical/HVAC,Journeyman,72,True
E-133,Mechanical Field Employee 043,Mechanical/HVAC,Journeyman,62,True
E-134,Mechanical Field Employee 044,Mechanical/HVAC,Journeyman,68,True
E-135,Mechanical Field Employee 045,Mechanical/HVAC,Journeyman,60,True
E-136,Mechanical Field Employee 046,Mechanical/HVAC,Apprentice,52,True
E-137,Mechanical Field Employee 047,Mechanical/HVAC,Journeyman,78,True
E-138,Mechanical Field Employee 048,Mechanical/HVAC,Journeyman,64,True
E-139,Mechanical Field Employee 049,Mechanical/HVAC,Foreman,78,True
E-140,Mechanical Field Employee 050,Mechanical/HVAC,Journeyman,62,True
E-141,Mechanical Field Employee 051,Mechanical/HVAC,Journeyman,68,True
E-142,Mechanical Field Employee 052,Mechanical/HVAC,Journeyman,60,True
E-143,Mechanical Field Employee 053,Mechanical/HVAC,Journeyman,66,True
E-144,Mechanical Field Employee 054,Mechanical/HVAC,Journeyman,78,True
E-145,Mechanical Field Employee 055,Mechanical/HVAC,Apprentice,52,True
