billing_id,pm_project_id,billing_period,sov_item_id,current_billed,billed_to_date,retainage_held,status
BILL-SOV-P-1001-1,PC-7712,2026-07,SOV-P-1001-1,90727.8,298750.66,14937.53,submitted
BILL-SOV-P-1001-2,PC-7712,2026-07,SOV-P-1001-2,199601.15,657251.46,32862.57,submitted
BILL-SOV-P-1001-3,PC-7712,2026-07,SOV-P-1001-3,254037.83,836501.86,41825.09,submitted
BILL-SOV-P-1001-4,PC-7712,2026-07,SOV-P-1001-4,226819.49,746876.66,37343.83,submitted
BILL-SOV-P-1001-5,PC-7712,2026-07,SOV-P-1001-5,136091.69,448126.0,22406.3,submitted
BILL-SOV-CO-1001-A,PC-7712,2026-07,SOV-CO-1001-A,82500.0,82500.0,4125.0,submitted
BILL-SOV-P-1002-1,PC-7633,2026-07,SOV-P-1002-1,132093.28,399603.73,19980.19,submitted
BILL-SOV-P-1002-2,PC-7633,2026-07,SOV-P-1002-2,290605.21,879128.21,43956.41,submitted
BILL-SOV-P-1002-3,PC-7633,2026-07,SOV-P-1002-3,369861.18,1118890.45,55944.52,submitted
BILL-SOV-P-1002-4,PC-7633,2026-07,SOV-P-1002-4,330233.2,999009.33,49950.47,submitted
BILL-SOV-P-1002-5,PC-7633,2026-07,SOV-P-1002-5,198139.92,599405.6,29970.28,submitted
BILL-SOV-CO-1002-A,PC-7633,2026-07,SOV-CO-1002-A,250000.0,250000.0,12500.0,submitted
BILL-SOV-P-1003-1,PC-7791,2026-07,SOV-P-1003-1,98582.87,216264.94,10813.25,submitted
BILL-SOV-P-1003-2,PC-7791,2026-07,SOV-P-1003-2,216882.32,475782.87,23789.14,submitted
BILL-SOV-P-1003-3,PC-7791,2026-07,SOV-P-1003-3,276032.04,605541.84,30277.09,submitted
BILL-SOV-P-1003-4,PC-7791,2026-07,SOV-P-1003-4,246457.18,540662.35,27033.12,submitted
BILL-SOV-P-1003-5,PC-7791,2026-07,SOV-P-1003-5,147874.31,324397.41,16219.87,submitted
BILL-SOV-CO-1003-A,PC-7791,2026-07,SOV-CO-1003-A,100000.0,100000.0,5000.0,submitted
BILL-SOV-P-1004-1,PC-7480,2026-07,SOV-P-1004-1,165955.29,652832.11,32641.61,submitted
BILL-SOV-P-1004-2,PC-7480,2026-07,SOV-P-1004-2,365101.64,1436230.65,71811.53,submitted
BILL-SOV-P-1004-3,PC-7480,2026-07,SOV-P-1004-3,464674.81,1827929.91,91396.5,submitted
BILL-SOV-P-1004-4,PC-7480,2026-07,SOV-P-1004-4,414888.22,1632080.28,81604.01,submitted
BILL-SOV-P-1004-5,PC-7480,2026-07,SOV-P-1004-5,248932.93,979248.17,48962.41,submitted
BILL-SOV-CO-1004-C,PC-7480,2026-07,SOV-CO-1004-C,95000.0,95000.0,4750.0,submitted
BILL-SOV-P-1005-1,PC-7688,2026-07,SOV-P-1005-1,126864.92,265058.5,13252.92,submitted
BILL-SOV-P-1005-2,PC-7688,2026-07,SOV-P-1005-2,279102.83,583128.69,29156.43,submitted
BILL-SOV-P-1005-3,PC-7688,2026-07,SOV-P-1005-3,355221.78,742163.79,37108.19,submitted
BILL-SOV-P-1005-4,PC-7688,2026-07,SOV-P-1005-4,317162.3,662646.24,33132.31,submitted
BILL-SOV-P-1005-5,PC-7688,2026-07,SOV-P-1005-5,190297.38,397587.74,19879.39,submitted
BILL-SOV-CO-1005-B,PC-7688,2026-07,SOV-CO-1005-B,88000.0,88000.0,4400.0,submitted
BILL-SOV-P-1006-1,PC-7588,2026-07,SOV-P-1006-1,180067.35,452336.28,22616.81,submitted
BILL-SOV-P-1006-2,PC-7588,2026-07,SOV-P-1006-2,396148.18,995139.82,49756.99,submitted
BILL-SOV-P-1006-3,PC-7588,2026-07,SOV-P-1006-3,504188.59,1266541.58,63327.08,submitted
BILL-SOV-P-1006-4,PC-7588,2026-07,SOV-P-1006-4,450168.39,1130840.7,56542.04,submitted
BILL-SOV-P-1006-5,PC-7588,2026-07,SOV-P-1006-5,270101.03,678504.42,33925.22,submitted
BILL-SOV-CO-1006-A,PC-7588,2026-07,SOV-CO-1006-A,0.0,210000.0,10500.0,submitted
