pm_project_id,as_of_date,cost_code,physical_progress_pct,source,comment
PC-7712,2026-06-30,260100,62,PM update,prior snapshot
PC-7712,2026-07-29,260100,70,PM update,current snapshot
PC-7712,2026-06-30,260200,43,PM update,prior snapshot
PC-7712,2026-07-29,260200,52,PM update,current snapshot
PC-7712,2026-06-30,260300,50,PM update,prior snapshot
PC-7712,2026-07-29,260300,59,PM update,current snapshot
PC-7712,2026-06-30,260400,44,PM update,prior snapshot
PC-7712,2026-07-29,260400,50,PM update,current snapshot
PC-7712,2026-06-30,260500,52,PM update,prior snapshot
PC-7712,2026-07-29,260500,61,PM update,current snapshot
PC-7712,2026-06-30,260600,63,PM update,prior snapshot
PC-7712,2026-07-29,260600,70,PM update,current snapshot
PC-7712,2026-06-30,260700,47,PM update,prior snapshot
PC-7712,2026-07-29,260700,57,PM update,current snapshot
PC-7712,2026-06-30,260800,57,PM update,prior snapshot
PC-7712,2026-07-29,260800,66,PM update,current snapshot
PC-7712,2026-06-30,260900,61,PM update,prior snapshot
PC-7712,2026-07-29,260900,70,PM update,current snapshot
PC-7712,2026-06-30,269900,51,PM update,prior snapshot
PC-7712,2026-07-29,269900,61,PM update,current snapshot
PC-7633,2026-06-30,230100,46,PM update,prior snapshot
PC-7633,2026-07-29,230100,55,PM update,current snapshot
PC-7633,2026-06-30,230200,32,PM update,prior snapshot
PC-7633,2026-07-29,230200,43,PM update,current snapshot
PC-7633,2026-06-30,230300,57,PM update,prior snapshot
PC-7633,2026-07-29,230300,63,PM update,current snapshot
PC-7633,2026-06-30,230400,49,PM update,prior snapshot
PC-7633,2026-07-29,230400,59,PM update,current snapshot
PC-7633,2026-06-30,230500,37,PM update,prior snapshot
PC-7633,2026-07-29,230500,49,PM update,current snapshot
PC-7633,2026-06-30,230600,54,PM update,prior snapshot
PC-7633,2026-07-29,230600,61,PM update,current snapshot
PC-7633,2026-06-30,230700,43,PM update,prior snapshot
PC-7633,2026-07-29,230700,54,PM update,current snapshot
PC-7633,2026-06-30,230800,45,PM update,prior snapshot
PC-7633,2026-07-29,230800,57,PM update,current snapshot
PC-7633,2026-06-30,230900,55,PM update,prior snapshot
PC-7633,2026-07-29,230900,63,PM update,current snapshot
PC-7633,2026-06-30,239900,50,PM update,prior snapshot
PC-7633,2026-07-29,239900,62,PM update,current snapshot
PC-7791,2026-06-30,220100,48,PM update,prior snapshot
PC-7791,2026-07-29,220100,57,PM update,current snapshot
PC-7791,2026-06-30,220200,47,PM update,prior snapshot
PC-7791,2026-07-29,220200,58,PM update,current snapshot
PC-7791,2026-06-30,220300,44,PM update,prior snapshot
PC-7791,2026-07-29,220300,53,PM update,current snapshot
PC-7791,2026-06-30,220400,42,PM update,prior snapshot
PC-7791,2026-07-29,220400,51,PM update,current snapshot
PC-7791,2026-06-30,220500,39,PM update,prior snapshot
PC-7791,2026-07-29,220500,50,PM update,current snapshot
PC-7791,2026-06-30,220600,39,PM update,prior snapshot
PC-7791,2026-07-29,220600,49,PM update,current snapshot
PC-7791,2026-06-30,220700,33,PM update,prior snapshot
PC-7791,2026-07-29,220700,45,PM update,current snapshot
PC-7791,2026-06-30,220800,44,PM update,prior snapshot
PC-7791,2026-07-29,220800,50,PM update,current snapshot
PC-7791,2026-06-30,220900,47,PM update,prior snapshot
PC-7791,2026-07-29,220900,53,PM update,current snapshot
PC-7791,2026-06-30,229900,35,PM update,prior snapshot
PC-7791,2026-07-29,229900,47,PM update,current snapshot
PC-7480,2026-06-30,260100,61,PM update,prior snapshot
PC-7480,2026-07-29,260100,72,PM update,current snapshot
PC-7480,2026-06-30,260200,52,PM update,prior snapshot
PC-7480,2026-07-29,260200,60,PM update,current snapshot
PC-7480,2026-06-30,260300,60,PM update,prior snapshot
PC-7480,2026-07-29,260300,71,PM update,current snapshot
PC-7480,2026-06-30,260400,55,PM update,prior snapshot
PC-7480,2026-07-29,260400,66,PM update,current snapshot
PC-7480,2026-06-30,260500,65,PM update,prior snapshot
PC-7480,2026-07-29,260500,71,PM update,current snapshot
PC-7480,2026-06-30,260600,66,PM update,prior snapshot
PC-7480,2026-07-29,260600,72,PM update,current snapshot
PC-7480,2026-06-30,260700,59,PM update,prior snapshot
PC-7480,2026-07-29,260700,67,PM update,current snapshot
PC-7480,2026-06-30,260800,57,PM update,prior snapshot
PC-7480,2026-07-29,260800,69,PM update,current snapshot
PC-7480,2026-06-30,260900,68,PM update,prior snapshot
PC-7480,2026-07-29,260900,77,PM update,current snapshot
PC-7480,2026-06-30,269900,71,PM update,prior snapshot
PC-7480,2026-07-29,269900,78,PM update,current snapshot
PC-7688,2026-06-30,230100,44,PM update,prior snapshot
PC-7688,2026-07-29,230100,56,PM update,current snapshot
PC-7688,2026-06-30,230200,46,PM update,prior snapshot
