time_entry_id,employee_id,pm_project_id,work_date,cost_code,regular_hours,overtime_hours,approval_status,posted_to_payroll
T-000001,E-001,PC-7712,2026-04-01,260100,8.0,4.0,approved,True
T-000002,E-001,PC-7712,2026-04-02,260100,8.0,4.0,approved,True
T-000003,E-001,PC-7712,2026-04-03,260100,8.0,2.8,approved,True
T-000004,E-001,PC-7712,2026-04-04,260100,8.0,0.0,approved,True
T-000005,E-001,PC-7712,2026-04-06,260100,8.0,0.0,approved,True
T-000006,E-001,PC-7712,2026-04-07,260100,8.0,0.0,approved,True
T-000007,E-001,PC-7712,2026-04-08,260100,8.0,0.0,approved,True
T-000008,E-001,PC-7712,2026-04-09,260100,8.0,0.0,approved,True
T-000009,E-001,PC-7712,2026-04-10,260100,8.0,0.0,approved,True
T-000010,E-001,PC-7712,2026-04-11,260100,8.0,0.0,approved,True
T-000011,E-001,PC-7712,2026-04-13,260100,8.0,0.0,approved,True
T-000012,E-001,PC-7712,2026-04-14,260100,8.0,0.0,approved,True
T-000013,E-001,PC-7712,2026-04-15,260100,8.0,0.0,approved,True
T-000014,E-001,PC-7712,2026-04-16,260100,8.0,0.0,approved,True
T-000015,E-001,PC-7712,2026-04-17,260100,8.0,0.0,approved,True
T-000016,E-001,PC-7712,2026-04-18,260100,8.0,0.0,approved,True
T-000017,E-001,PC-7712,2026-04-20,260100,8.0,0.0,approved,True
T-000018,E-001,PC-7712,2026-04-21,260100,8.0,0.0,approved,True
T-000019,E-001,PC-7712,2026-04-22,260100,8.0,0.0,approved,True
T-000020,E-001,PC-7712,2026-04-23,260100,8.0,0.0,approved,True
T-000021,E-001,PC-7712,2026-04-24,260100,8.0,0.0,approved,True
T-000022,E-001,PC-7712,2026-04-25,260100,8.0,0.0,approved,True
T-000023,E-001,PC-7712,2026-04-27,260100,8.0,0.0,approved,True
T-000024,E-001,PC-7712,2026-04-28,260100,8.0,0.0,approved,True
T-000025,E-001,PC-7712,2026-04-29,260100,8.0,0.0,approved,True
T-000026,E-001,PC-7712,2026-04-30,260100,8.0,0.0,approved,True
T-000027,E-002,PC-7712,2026-04-01,260100,8.0,0.0,approved,True
T-000028,E-002,PC-7712,2026-04-02,260100,8.0,0.0,approved,True
T-000029,E-002,PC-7712,2026-04-03,260100,8.0,0.0,approved,True
T-000030,E-002,PC-7712,2026-04-04,260100,8.0,0.0,approved,True
T-000031,E-002,PC-7712,2026-04-06,260100,8.0,0.0,approved,True
