metric_stage,project_id,as_of_date,revised_contract_value,posted_cost_to_date,remaining_commitment,pm_remaining_uncommitted_cost,baseline_eac,projected_profit,projected_margin_pct,draft_percent_complete_pct,draft_earned_revenue,billed_to_date,billing_position
pre_human_adjustments,P-1001,2026-06-30,5000000.0,1536080.72,1625000.0,850000.0,4011080.72,988919.28,19.78,38.3,1914796.57,2080228.68,165432.11
pre_human_adjustments,P-1001,2026-07-31,5150000.0,2913488.94,716500.0,909000.0,4538988.94,611011.06,11.86,64.19,3305685.09,3070006.64,-235678.45
pre_human_adjustments,P-1002,2026-06-30,7585000.0,1842456.15,2791000.0,1537000.0,6170456.15,1414543.85,18.65,29.86,2264829.3,2675104.53,410275.23
pre_human_adjustments,P-1002,2026-07-31,7835000.0,3832970.88,1272000.0,1537000.0,6641970.88,1193029.12,15.23,57.71,4521448.13,4246037.32,-275410.81
pre_human_adjustments,P-1003,2026-06-30,3200000.0,760174.4,1077000.0,719000.0,2556174.4,643825.6,20.12,29.74,951640.11,1176820.69,225180.58
pre_human_adjustments,P-1003,2026-07-31,3300000.0,1659602.84,432000.0,495000.0,2586602.84,713397.16,21.62,64.16,2117329.06,2262649.41,145320.35
pre_human_adjustments,P-1004,2026-06-30,9620000.0,3480550.16,3213000.0,1388000.0,8081550.16,1538449.84,15.99,43.07,4143127.48,4868768.23,725640.75
pre_human_adjustments,P-1004,2026-07-31,9715000.0,6209273.21,1084000.0,1157000.0,8450273.21,1264726.79,13.02,73.48,7138596.32,6623321.12,-515275.2
pre_human_adjustments,P-1005,2026-06-30,4800000.0,911413.05,1933000.0,1056000.0,3900413.05,899586.95,18.74,23.37,1121620.35,1381935.75,260315.4
pre_human_adjustments,P-1005,2026-07-31,4960000.0,2221970.26,807000.0,860000.0,3888970.26,1071029.74,21.59,57.14,2833905.06,2738584.96,-95320.1
pre_human_adjustments,P-1006,2026-06-30,6310000.0,1944397.9,2198000.0,1141000.0,5283397.9,1026602.1,16.27,36.8,2322208.36,2932689.26,610480.9
pre_human_adjustments,P-1006,2026-07-31,6310000.0,3843386.49,832000.0,651000.0,5326386.49,983613.51,15.59,72.16,4553137.25,4733362.8,180225.55
